id,call_date,duration,user_id
1000_0,2018-07-25,0.0,1000
1000_1,2018-08-17,0.0,1000
1000_2,2018-06-11,2.85,1000
1000_3,2018-09-21,13.8,1000
1000_4,2018-12-15,5.18,1000
1000_5,2018-11-02,0.0,1000
1000_6,2018-10-18,0.0,1000
1000_7,2018-08-22,18.31,1000
1000_8,2018-09-15,18.44,1000
1000_9,2018-08-15,0.0,1000
1000_10,2018-08-22,5.03,1000
1000_11,2018-05-28,18.82,1000
1000_12,2018-07-05,2.02,1000
1000_13,2018-09-29,7.15,1000
1000_14,2018-12-11,9.13,1000
1000_15,2018-07-27,9.36,1000
1000_16,2018-08-11,4.08,1000
1000_17,2018-08-02,12.63,1000
1000_18,2018-06-15,4.46,1000
1000_19,2018-11-02,15.08,1000
1000_20,2018-10-18,7.15,1000
1000_21,2018-09-21,8.37,1000
1000_22,2018-12-04,1.56,1000
1000_23,2018-08-20,9.85,1000
1000_24,2018-09-25,12.21,1000
1000_25,2018-07-21,14.38,1000
1000_26,2018-08-27,4.21,1000
1000_27,2018-08-25,10.75,1000
1000_28,2018-12-12,23.83,1000
1000_29,2018-07-19,11.11,1000
1000_30,2018-11-14,11.8,1000
1000_31,2018-11-14,7.88,1000
1000_32,2018-12-26,14.94,1000
1000_33,2018-12-02,1.62,1000
1000_34,2018-10-08,22.76,1000
1000_35,2018-09-23,8.37,1000
1000_36,2018-10-09,0.0,1000
1000_37,2018-08-15,6.84,1000
1000_38,2018-05-25,0.0,1000
1000_39,2018-06-13,0.0,1000
1000_40,2018-10-25,0.0,1000
1000_41,2018-12-29,6.8,1000
1000_42,2018-07-12,1.45,1000
1000_43,2018-11-20,9.44,1000
1000_44,2018-06-05,6.36,1000
1000_45,2018-10-13,10.84,1000
1000_46,2018-06-26,7.72,1000
1000_47,2018-07-14,0.0,1000
1000_48,2018-07-20,10.87,1000
1000_49,2018-09-21,6.66,1000
1000_50,2018-12-01,19.77,1000
1000_51,2018-06-17,0.0,1000
1000_52,2018-07-25,6.21,1000
1000_53,2018-10-24,6.11,1000
1000_54,2018-11-26,0.0,1000
1000_55,2018-09-19,0.31,1000
1000_56,2018-05-30,8.69,1000
1000_57,2018-12-21,2.25,1000
1000_58,2018-07-14,14.31,1000
1000_59,2018-12-23,0.0,1000
1000_60,2018-11-14,6.48,1000
1000_61,2018-07-03,11.1,1000
1000_62,2018-10-04,9.57,1000
1000_63,2018-09-16,0.0,1000
1000_64,2018-11-21,3.43,1000
1000_65,2018-10-28,0.34,1000
1000_66,2018-08-29,11.52,1000
1000_67,2018-08-13,0.0,1000
1000_68,2018-09-21,12.93,1000
1000_69,2018-07-18,11.29,1000
1000_70,2018-06-03,4.63,1000
1000_71,2018-06-13,3.37,1000
1000_72,2018-12-21,2.5,1000
1000_73,2018-09-03,1.8,1000
1000_74,2018-08-14,3.78,1000
1000_75,2018-11-01,1.1,1000
1000_76,2018-08-15,5.8,1000
1000_77,2018-08-15,8.02,1000
1000_78,2018-05-26,10.25,1000
1000_79,2018-06-17,0.0,1000
1000_80,2018-11-23,11.45,1000
1000_81,2018-09-30,1.02,1000
1000_82,2018-11-09,12.28,1000
1000_83,2018-08-01,0.0,1000
1000_84,2018-06-18,0.0,1000
1000_85,2018-10-20,2.02,1000
1000_86,2018-08-14,23.84,1000
1000_87,2018-11-01,8.86,1000
1000_88,2018-11-07,5.06,1000
1000_89,2018-08-04,10.09,1000
1000_90,2018-08-15,3.47,1000
1000_91,2018-10-09,4.42,1000
1000_92,2018-09-06,10.05,1000
1000_93,2018-10-27,5.63,1000
1000_94,2018-06-26,0.0,1000
1000_95,2018-10-15,9.88,1000
1000_96,2018-07-03,9.22,1000
1000_97,2018-10-26,0.33,1000
1000_98,2018-11-18,7.68,1000
1000_99,2018-07-30,14.01,1000
1000_100,2018-06-18,10.77,1000
1000_101,2018-09-29,12.61,1000
1000_102,2018-10-06,8.41,1000
1000_103,2018-12-17,0.0,1000
1000_104,2018-11-21,0.0,1000
1000_105,2018-08-24,3.27,1000
1000_106,2018-08-13,7.41,1000
1000_107,2018-09-28,16.76,1000
1000_108,2018-07-06,3.94,1000
1000_109,2018-06-05,2.03,1000
1000_110,2018-06-02,5.82,1000
1000_111,2018-09-02,3.73,1000
1000_112,2018-12-10,3.63,1000
1000_113,2018-05-26,6.88,1000
1000_114,2018-11-03,10.84,1000
1000_115,2018-07-28,8.83,1000
1000_116,2018-09-27,3.0,1000
1000_117,2018-12-24,13.6,1000
1000_118,2018-07-29,6.66,1000
1000_119,2018-12-18,5.11,1000
1000_120,2018-10-16,0.0,1000
1000_121,2018-06-26,13.66,1000
1000_122,2018-10-07,0.13,1000
1000_123,2018-09-15,8.67,1000
1000_124,2018-05-28,0.0,1000
1000_125,2018-07-21,1.12,1000
1000_126,2018-11-12,12.29,1000
1000_127,2018-07-23,2.61,1000
1000_128,2018-08-26,7.76,1000
1000_129,2018-09-28,0.0,1000
1000_130,2018-07-12,0.0,1000
1000_131,2018-08-22,1.81,1000
1000_132,2018-09-07,12.71,1000
1000_133,2018-05-26,4.19,1000
1000_134,2018-09-14,14.31,1000
1000_135,2018-10-25,0.02,1000
1000_136,2018-07-15,1.45,1000
1000_137,2018-09-17,8.32,1000
1000_138,2018-07-23,3.34,1000
1000_139,2018-09-09,0.7,1000
1000_140,2018-10-02,0.0,1000
1000_141,2018-07-02,0.0,1000
1000_142,2018-10-21,0.0,1000
