,id,mb_used,session_date,user_id
0,1000_0,112.95,2018-11-25,1000
1,1000_1,1052.81,2018-09-07,1000
2,1000_2,1197.26,2018-06-25,1000
3,1000_3,550.27,2018-08-22,1000
4,1000_4,302.56,2018-09-24,1000
5,1000_5,399.97,2018-10-02,1000
6,1000_6,540.08,2018-09-07,1000
7,1000_7,415.7,2018-07-11,1000
8,1000_8,505.4,2018-10-08,1000
9,1000_9,345.54,2018-09-03,1000
10,1000_10,385.14,2018-09-27,1000
11,1000_11,0.0,2018-08-28,1000
12,1000_12,375.87,2018-06-20,1000
13,1000_13,393.83,2018-08-09,1000
14,1000_14,180.64,2018-08-11,1000
15,1000_15,337.71,2018-07-21,1000
16,1000_16,459.28,2018-06-09,1000
17,1000_17,204.14,2018-06-03,1000
18,1000_18,658.1,2018-11-01,1000
19,1000_19,452.73,2018-11-28,1000
20,1000_20,336.96,2018-08-20,1000
21,1000_21,564.37,2018-12-06,1000
22,1000_22,723.38,2018-07-02,1000
23,1000_23,603.61,2018-10-19,1000
24,1000_24,53.18,2018-10-30,1000
25,1000_25,153.44,2018-06-17,1000
26,1000_26,951.38,2018-11-06,1000
27,1000_27,799.91,2018-08-28,1000
28,1000_28,923.89,2018-09-14,1000
29,1000_29,622.43,2018-11-15,1000
30,1000_30,577.19,2018-06-09,1000
31,1000_31,506.48,2018-11-06,1000
32,1000_32,571.41,2018-08-26,1000
33,1000_33,432.34,2018-10-15,1000
34,1000_34,533.64,2018-09-24,1000
35,1000_35,660.31,2018-08-28,1000
36,1000_36,1249.74,2018-11-06,1000
37,1000_37,747.58,2018-06-03,1000
38,1000_38,0.0,2018-11-27,1000
39,1000_39,142.75,2018-10-17,1000
40,1000_40,575.19,2018-10-07,1000
41,1000_41,724.48,2018-08-05,1000
42,1000_42,558.38,2018-07-06,1000
43,1000_43,555.63,2018-10-03,1000
44,1000_44,546.02,2018-09-07,1000
45,1000_45,549.2,2018-11-02,1000
46,1000_46,0.0,2018-06-30,1000
47,1000_47,197.93,2018-11-17,1000
48,1000_48,210.52,2018-06-06,1000
49,1000_49,629.12,2018-11-20,1000
50,1000_50,277.96,2018-06-09,1000
51,1000_51,628.41,2018-05-31,1000
52,1000_52,747.24,2018-10-02,1000
53,1000_53,1066.59,2018-10-29,1000
54,1000_54,272.46,2018-06-09,1000
55,1000_55,348.64,2018-12-10,1000
56,1000_56,350.4,2018-08-05,1000
57,1000_57,478.19,2018-07-04,1000
58,1000_58,10.23,2018-12-28,1000
59,1000_59,363.2,2018-05-28,1000
60,1000_60,293.41,2018-09-15,1000
61,1000_61,430.5,2018-09-09,1000
62,1000_62,714.4,2018-09-17,1000
63,1000_63,547.31,2018-09-01,1000
64,1000_64,763.86,2018-09-14,1000
65,1000_65,693.42,2018-11-03,1000
66,1000_66,1106.7,2018-11-04,1000
67,1000_67,0.0,2018-06-16,1000
68,1000_68,740.21,2018-12-07,1000
69,1000_69,614.73,2018-08-25,1000
70,1000_70,425.2,2018-10-19,1000
71,1000_71,953.07,2018-08-26,1000
72,1000_72,0.0,2018-06-15,1000
73,1000_73,395.08,2018-06-26,1000
74,1000_74,566.04,2018-10-06,1000
75,1000_75,400.85,2018-12-01,1000
76,1000_76,387.18,2018-10-14,1000
77,1000_77,283.62,2018-06-07,1000
78,1000_78,947.79,2018-12-15,1000
79,1000_79,1050.37,2018-11-20,1000
80,1000_80,499.48,2018-10-04,1000
81,1000_81,652.41,2018-08-13,1000
82,1000_82,616.04,2018-07-10,1000
83,1000_83,392.92,2018-07-11,1000
84,1000_84,230.05,2018-09-24,1000
85,1000_85,331.23,2018-11-17,1000
86,1000_86,716.61,2018-07-07,1000
87,1000_87,674.93,2018-10-19,1000
88,1000_88,395.12,2018-08-17,1000
89,1000_89,682.35,2018-08-17,1000
90,1000_90,570.03,2018-09-03,1000
91,1000_91,537.22,2018-10-19,1000
92,1000_92,113.32,2018-06-28,1000
